return_id,order_item_id,return_date,return_reason,refund_amount,return_status
98,476099,2025-02-17 21:54:51,Customer Changed Mind,15762.19,Rejected
99,710149,2024-11-17 07:43:09,Size Issue,20672.48,Refunded
100,440734,2026-02-16 04:11:17,Defective Item,19953.52,Refunded
101,654137,2024-09-29 03:03:33,Damaged Product,22910.72,Refunded
102,469331,2026-03-02 21:41:46,Customer Changed Mind,7913.98,Rejected
103,77689,2024-10-22 04:54:14,Customer Changed Mind,41364.66,Refunded
104,32393,2025-06-16 21:03:58,Size Issue,48842.42,Refunded
105,106008,2025-03-26 15:20:33,Customer Changed Mind,3393.98,Refunded
106,237828,2026-05-03 01:14:27,Damaged Product,34335.06,Refunded
107,97775,2024-12-30 13:06:49,Defective Item,32541.95,Approved
108,159281,2025-04-26 21:33:39,Customer Changed Mind,25232.53,Rejected
109,572947,2024-10-27 13:51:48,Customer Changed Mind,31475.73,Approved
110,382738,2025-03-31 20:16:00,Size Issue,25258.32,Rejected
111,739470,2025-01-05 00:23:14,Damaged Product,34576.68,Approved
112,574042,2025-03-20 14:44:57,Size Issue,32262.44,Approved
113,395824,2026-04-12 00:12:08,Size Issue,1536.75,Refunded
114,293371,2025-10-22 16:37:40,Size Issue,44061.02,Rejected
115,440390,2024-10-14 08:33:39,Defective Item,1239.85,Approved
116,3976,2026-07-02 21:04:26,Defective Item,23227.31,Refunded
117,124421,2026-06-18 20:25:55,Wrong Product Delivered,11910.65,Approved
118,459726,2024-09-23 00:31:27,Customer Changed Mind,27090.9,Rejected
119,404768,2024-09-06 07:46:21,Defective Item,44417.1,Approved
120,45354,2025-10-21 12:42:56,Wrong Product Delivered,15412.74,Rejected
121,545090,2024-08-26 08:39:51,Defective Item,28434.91,Approved
122,445421,2024-12-17 17:43:39,Defective Item,28807.8,Approved
123,520656,2025-12-06 14:12:35,Customer Changed Mind,43728.13,Rejected
124,51031,2026-06-08 18:29:11,Customer Changed Mind,29237.89,Rejected
125,25892,2025-10-26 16:18:55,Customer Changed Mind,49891.91,Rejected
126,725086,2025-11-17 16:42:17,Damaged Product,7328.98,Rejected
127,430289,2024-08-30 01:09:46,Damaged Product,37734.81,Rejected
128,23802,2025-09-13 18:12:10,Size Issue,13514.31,Rejected
129,719926,2024-11-30 02:01:40,Customer Changed Mind,20389.53,Rejected
130,564306,2025-01-20 16:19:17,Customer Changed Mind,11396.1,Rejected
131,11247,2026-03-29 19:25:34,Customer Changed Mind,35823.74,Rejected
132,709492,2025-11-21 20:49:56,Customer Changed Mind,38698.85,Rejected
133,268571,2025-07-18 16:47:50,Size Issue,41471.89,Approved
134,225709,2026-03-22 00:06:30,Defective Item,33190.74,Refunded
135,443086,2026-04-01 21:30:31,Defective Item,23127.61,Approved
136,355771,2025-05-08 08:35:58,Wrong Product Delivered,38860.84,Approved
137,359355,2025-02-18 03:55:08,Defective Item,8124.76,Rejected
138,66135,2024-11-10 04:34:50,Damaged Product,31365.83,Refunded
139,108190,2025-08-11 19:21:29,Wrong Product Delivered,29447.72,Refunded
140,406064,2025-11-11 04:45:34,Wrong Product Delivered,5298.1,Refunded
141,276447,2024-12-10 09:58:08,Defective Item,43776.84,Rejected
142,4781,2025-09-28 13:58:56,Damaged Product,28069.43,Refunded
143,604549,2025-01-24 04:10:00,Customer Changed Mind,47961.76,Refunded
144,197923,2025-01-28 10:40:45,Damaged Product,3541.37,Approved
145,708432,2025-07-19 06:42:50,Damaged Product,26577.3,Approved
146,616063,2024-08-26 19:53:08,Customer Changed Mind,24654.22,Refunded
147,227627,2026-06-16 16:05:10,Defective Item,25868.73,Rejected
148,315679,2025-10-29 03:05:33,Damaged Product,11580.48,Refunded
149,385361,2026-06-19 04:51:59,Defective Item,27602.02,Rejected
150,624170,2025-04-20 22:15:01,Customer Changed Mind,35523.3,Refunded
151,405578,2026-01-20 18:41:31,Wrong Product Delivered,39037.59,Approved
152,403083,2026-03-03 13:30:04,Wrong Product Delivered,23131.94,Rejected
153,32798,2025-09-08 04:31:03,Size Issue,4367.67,Approved
154,263690,2026-06-11 08:33:25,Size Issue,13336.02,Rejected
155,309924,2024-12-25 18:23:19,Wrong Product Delivered,2969.56,Rejected
156,373218,2026-01-24 01:17:03,Customer Changed Mind,33516.93,Refunded
157,114919,2025-04-21 19:23:40,Defective Item,1242.05,Rejected
158,83589,2026-04-23 13:24:05,Size Issue,19926.56,Approved
159,124935,2024-12-06 22:38:09,Wrong Product Delivered,17901.34,Rejected
160,644611,2025-04-27 09:36:12,Customer Changed Mind,30627.59,Rejected
161,139530,2025-03-02 17:19:16,Size Issue,17075.34,Rejected
162,538126,2024-12-31 21:56:48,Damaged Product,36409.95,Approved
163,592407,2026-03-24 10:26:30,Damaged Product,47035.19,Rejected
164,301404,2026-05-02 12:32:23,Defective Item,9683.4,Rejected
165,54738,2025-08-03 14:02:58,Wrong Product Delivered,41218.96,Approved
166,459408,2025-04-29 05:11:35,Defective Item,36599.21,Rejected
167,280235,2025-12-22 13:03:04,Customer Changed Mind,43146.42,Rejected
168,169615,2025-04-30 03:43:42,Size Issue,10841.04,Rejected
169,98668,2024-11-04 10:21:49,Wrong Product Delivered,21542.16,Refunded
170,305759,2025-08-07 22:14:23,Size Issue,898.01,Approved
171,94285,2026-01-28 17:21:02,Customer Changed Mind,12083.16,Rejected
172,730562,2025-01-15 13:50:59,Customer Changed Mind,10077.93,Rejected
173,531808,2026-05-13 21:45:50,Defective Item,37488.08,Approved
174,91754,2025-04-22 04:15:53,Damaged Product,8581.27,Approved
175,428499,2026-05-24 17:38:09,Defective Item,31866.19,Approved
176,571246,2025-01-07 19:11:12,Customer Changed Mind,29753.68,Rejected
177,116820,2024-10-12 19:40:32,Defective Item,33747.1,Approved
178,714447,2026-05-26 19:47:33,Size Issue,19992.57,Approved
179,219292,2025-05-10 06:51:30,Damaged Product,47033.11,Rejected
180,72089,2026-04-07 01:48:05,Customer Changed Mind,27419.68,Refunded
181,337478,2024-12-20 01:26:58,Wrong Product Delivered,46839.86,Rejected
182,309210,2024-10-05 10:58:20,Wrong Product Delivered,38113.6,Refunded
183,256829,2026-01-27 08:13:18,Defective Item,12739.46,Approved
184,455255,2026-03-30 05:12:38,Customer Changed Mind,17380.86,Rejected
185,5932,2025-08-20 11:46:27,Defective Item,41637.12,Refunded
186,272852,2025-05-11 07:58:30,Wrong Product Delivered,407.77,Refunded
187,590045,2025-11-04 21:33:54,Defective Item,47842.18,Rejected
188,612518,2025-04-13 11:32:14,Defective Item,25598.96,Rejected
189,302066,2026-07-09 14:06:02,Defective Item,5139.95,Approved
190,206724,2025-03-22 13:24:59,Damaged Product,23240.37,Refunded
191,636352,2025-08-19 00:09:46,Defective Item,11762.58,Approved
192,366166,2026-04-26 06:33:00,Damaged Product,31984.72,Approved
193,29883,2025-06-25 12:50:31,Wrong Product Delivered,48428.04,Rejected
194,141417,2025-02-22 19:23:08,Customer Changed Mind,3083.3,Approved
195,628290,2025-03-18 13:07:58,Wrong Product Delivered,21947.42,Approved
196,251858,2025-04-27 11:21:23,Damaged Product,15806.83,Rejected
197,744539,2026-02-05 17:44:21,Size Issue,12830.27,Approved
198,29930,2025-05-05 10:39:09,Customer Changed Mind,41415.36,Approved
199,299281,2025-10-29 01:31:39,Damaged Product,28447.84,Refunded
200,738133,2026-03-10 16:09:45,Customer Changed Mind,42767.6,Approved
201,258871,2025-10-06 02:34:29,Wrong Product Delivered,16376.52,Refunded
202,649744,2025-02-05 14:57:47,Wrong Product Delivered,16153.27,Approved
203,564335,2026-01-17 03:03:52,Damaged Product,26269.52,Rejected
204,20772,2025-01-16 07:04:10,Size Issue,23798.75,Approved
205,536657,2025-02-09 17:06:47,Size Issue,42972.12,Approved
206,432861,2024-07-20 17:09:06,Damaged Product,41132.27,Rejected
207,307687,2026-03-15 07:15:00,Size Issue,16825.25,Approved
208,114157,2025-10-19 12:36:28,Defective Item,246.78,Refunded
209,141783,2024-09-01 11:05:41,Wrong Product Delivered,8470.05,Approved
210,611090,2026-03-29 09:33:46,Customer Changed Mind,13804.29,Approved
211,466028,2025-02-02 06:42:03,Customer Changed Mind,6149.73,Refunded
212,17098,2024-11-13 17:37:25,Damaged Product,41225.56,Refunded
213,310779,2026-01-29 01:14:01,Customer Changed Mind,18556.34,Approved
214,449693,2025-07-23 00:43:19,Size Issue,29848.38,Approved
215,527018,2024-12-06 11:43:10,Size Issue,24836.3,Approved
216,405081,2025-10-09 07:57:18,Damaged Product,13993.31,Approved
217,177445,2024-11-21 09:27:58,Customer Changed Mind,31400.18,Rejected
218,451606,2026-05-28 23:46:09,Defective Item,32229.08,Approved
219,125583,2026-04-10 19:45:52,Damaged Product,32830.97,Refunded
220,435192,2024-10-04 19:46:58,Customer Changed Mind,4100.48,Refunded
221,70106,2025-08-31 01:25:08,Customer Changed Mind,42475.73,Approved
222,329487,2025-12-07 04:12:17,Damaged Product,37374.36,Rejected
223,67795,2026-05-20 03:05:10,Customer Changed Mind,32070.72,Rejected
224,349208,2026-04-17 22:53:19,Damaged Product,46098.78,Approved
225,26589,2025-01-31 17:37:42,Customer Changed Mind,45594.24,Approved
226,194129,2025-08-27 12:35:36,Defective Item,37850.72,Approved
227,194643,2026-03-31 20:22:31,Wrong Product Delivered,43445.77,Refunded
228,353502,2025-07-28 22:19:03,Customer Changed Mind,45786.13,Refunded
229,264748,2024-07-31 08:25:01,Damaged Product,49780.27,Rejected
230,43253,2024-11-12 17:20:27,Damaged Product,9979.77,Approved
231,359951,2025-08-18 15:22:17,Wrong Product Delivered,45979.37,Approved
232,343119,2025-04-22 13:45:42,Wrong Product Delivered,25151.87,Approved
233,469260,2026-04-24 17:20:57,Customer Changed Mind,34354.9,Approved
234,224868,2025-06-15 03:46:33,Size Issue,28364.37,Refunded
235,315295,2026-01-12 22:22:32,Wrong Product Delivered,18898.03,Refunded
236,696785,2025-07-01 15:07:21,Customer Changed Mind,862.64,Approved
237,740120,2025-01-09 06:07:35,Size Issue,48557.17,Rejected
238,736036,2025-04-22 09:56:33,Customer Changed Mind,17144.66,Rejected
239,508994,2024-07-27 13:00:58,Defective Item,24331.18,Approved
240,587585,2026-05-25 07:03:02,Damaged Product,49957.09,Refunded
241,499230,2025-03-31 12:39:45,Customer Changed Mind,13716.71,Approved
242,717250,2024-08-11 10:44:15,Size Issue,17650.77,Approved
243,466539,2025-03-14 16:26:52,Defective Item,43247.33,Approved
244,74287,2024-11-24 08:56:37,Damaged Product,2984.42,Approved
245,718100,2024-11-24 16:09:34,Defective Item,48303.47,Approved
246,382721,2026-04-24 08:35:53,Size Issue,45591.41,Rejected
247,27953,2025-10-22 05:59:04,Wrong Product Delivered,11922.23,Approved
248,302320,2024-08-03 01:28:42,Damaged Product,42030.82,Rejected
249,46907,2026-06-27 16:19:25,Customer Changed Mind,26177.03,Refunded
250,403752,2026-03-03 14:19:38,Damaged Product,25652.16,Approved
251,687430,2026-06-23 07:52:46,Defective Item,35443.22,Refunded
252,494310,2026-04-15 23:34:33,Wrong Product Delivered,13284.7,Rejected
253,151501,2024-08-07 19:50:34,Customer Changed Mind,17292.69,Refunded
254,461448,2025-07-17 11:25:11,Size Issue,8627.18,Refunded
255,287763,2026-02-28 04:00:07,Size Issue,31169.83,Rejected
256,578135,2024-10-06 04:10:54,Wrong Product Delivered,24578.56,Refunded
257,61589,2025-06-12 00:28:25,Damaged Product,42954.16,Rejected
258,313624,2025-05-06 21:03:36,Damaged Product,29480.87,Refunded
259,267887,2025-07-27 09:06:18,Damaged Product,27413.44,Approved
260,147848,2026-05-17 19:09:39,Defective Item,46309.41,Rejected
261,563049,2024-09-27 02:41:22,Size Issue,36575.3,Approved
262,515796,2025-01-25 09:48:50,Size Issue,34730.7,Refunded
263,693036,2024-10-10 15:04:13,Defective Item,27644.33,Rejected
264,327015,2024-09-22 01:41:43,Damaged Product,39662.47,Refunded
265,79430,2026-06-01 03:05:14,Customer Changed Mind,27138.49,Refunded
266,325256,2024-07-16 15:55:05,Size Issue,45165.45,Refunded
267,513522,2026-01-13 15:22:38,Customer Changed Mind,21606.51,Approved
268,223655,2024-12-31 19:41:16,Customer Changed Mind,480.68,Refunded
269,691268,2025-06-21 09:02:30,Wrong Product Delivered,11592.68,Refunded
270,220816,2025-06-07 14:50:44,Wrong Product Delivered,22415.35,Rejected
271,366570,2024-09-30 09:54:48,Wrong Product Delivered,22487.32,Refunded
272,443202,2025-10-14 13:31:13,Customer Changed Mind,31990.36,Refunded
273,357780,2026-05-17 14:44:09,Damaged Product,29285.52,Rejected
274,298938,2024-10-31 09:47:29,Size Issue,41860.69,Approved
275,318872,2026-04-23 16:06:10,Defective Item,35821.88,Rejected
276,644224,2026-07-03 06:52:21,Damaged Product,20899.95,Rejected
277,344947,2024-09-04 05:49:45,Customer Changed Mind,37247.07,Refunded
278,687926,2025-05-22 11:40:50,Damaged Product,19365.93,Refunded
279,220413,2026-07-09 01:50:47,Size Issue,44317.68,Refunded
280,360124,2025-08-10 02:59:51,Damaged Product,16352.8,Refunded
281,301803,2025-11-29 07:23:23,Size Issue,5438.65,Refunded
282,442287,2025-12-10 15:19:13,Damaged Product,47736.26,Approved
283,450958,2025-07-14 01:50:27,Wrong Product Delivered,13267.79,Refunded
284,732796,2025-06-29 11:45:37,Wrong Product Delivered,38599.64,Approved
285,115079,2026-05-07 00:21:26,Damaged Product,12225.31,Refunded
286,24304,2024-07-26 01:56:39,Size Issue,30844.06,Refunded
287,309863,2025-10-24 18:35:41,Damaged Product,21254.46,Approved
288,46513,2026-05-01 22:11:27,Size Issue,21198.79,Refunded
289,136594,2024-12-17 05:46:37,Wrong Product Delivered,12164.91,Refunded
290,177620,2025-10-26 12:33:18,Damaged Product,18448.7,Rejected
291,362963,2025-04-03 12:25:51,Wrong Product Delivered,27316.85,Approved
292,633591,2026-04-05 06:34:38,Wrong Product Delivered,26992.85,Rejected
293,104169,2024-08-14 19:26:37,Defective Item,30499.83,Rejected
294,671494,2024-08-11 09:29:45,Customer Changed Mind,9676.61,Rejected
295,512056,2024-10-22 19:22:51,Customer Changed Mind,23419.63,Approved
296,479908,2026-04-18 13:49:06,Customer Changed Mind,47886.72,Approved
297,397170,2025-11-05 09:59:58,Defective Item,41428.47,Approved
298,160302,2025-11-09 21:02:09,Damaged Product,35132.83,Rejected
299,496351,2026-06-24 04:30:47,Wrong Product Delivered,19026.14,Approved
300,144024,2024-11-27 12:25:35,Defective Item,39714.51,Refunded
301,195973,2025-08-22 10:38:53,Size Issue,15384.22,Refunded
302,414745,2026-02-05 08:32:34,Defective Item,15399.53,Approved
303,553767,2025-09-02 01:52:22,Customer Changed Mind,25002.61,Approved
304,629764,2025-03-30 16:35:33,Size Issue,23881.96,Refunded
305,264625,2026-05-13 11:59:09,Size Issue,2024.66,Rejected
306,7241,2026-01-16 07:19:09,Size Issue,437.54,Approved
307,488312,2025-10-25 07:07:57,Defective Item,18787.1,Refunded
308,681659,2024-11-14 09:06:42,Defective Item,39306.7,Refunded
309,360766,2026-01-09 12:34:39,Damaged Product,42116.25,Rejected
310,411107,2025-05-22 01:05:00,Wrong Product Delivered,13448.7,Rejected
311,209646,2025-04-10 12:35:35,Wrong Product Delivered,2302.64,Refunded
312,629999,2025-03-14 19:59:48,Customer Changed Mind,28529.54,Approved
313,295351,2026-03-06 07:33:48,Damaged Product,7670.17,Approved
314,739315,2025-05-16 07:56:26,Customer Changed Mind,30373.26,Rejected
315,532382,2025-01-31 13:26:52,Defective Item,33503.3,Rejected
316,373703,2025-09-01 00:15:31,Customer Changed Mind,28245.24,Approved
317,696467,2024-12-06 03:36:15,Wrong Product Delivered,49197.83,Rejected
318,147155,2024-08-13 10:25:01,Wrong Product Delivered,38020.31,Rejected
319,372463,2026-06-24 10:20:42,Damaged Product,3542.74,Rejected
320,241394,2024-11-29 19:30:59,Size Issue,47091.46,Rejected
321,318364,2025-06-09 01:29:34,Customer Changed Mind,46626.65,Approved
322,601258,2025-05-14 11:35:43,Damaged Product,33799.79,Rejected
323,618910,2026-06-08 06:29:58,Size Issue,13422.5,Rejected
324,130398,2026-01-30 01:16:28,Wrong Product Delivered,34072.96,Approved
325,670208,2025-06-15 05:28:34,Defective Item,32485.27,Approved
326,461400,2026-06-17 23:31:30,Wrong Product Delivered,41461.72,Refunded
327,25613,2024-08-28 03:55:39,Damaged Product,46828.19,Approved
328,127521,2025-12-05 22:57:01,Customer Changed Mind,12546.94,Approved
329,638349,2026-04-22 00:22:21,Customer Changed Mind,9012.91,Rejected
330,58906,2026-01-04 02:36:16,Damaged Product,47558.01,Approved
331,579307,2024-11-01 17:55:08,Defective Item,45020.54,Refunded
332,619663,2025-03-25 18:49:09,Defective Item,41512.38,Rejected
333,498985,2025-03-17 01:43:18,Defective Item,49775.61,Approved
334,438165,2026-03-19 04:11:11,Customer Changed Mind,32300.61,Rejected
335,327333,2025-05-01 21:10:19,Size Issue,7437.6,Rejected
336,679789,2025-01-31 01:09:44,Wrong Product Delivered,29839.71,Rejected
337,117484,2024-08-13 01:03:08,Damaged Product,16808.72,Approved
338,498165,2026-06-09 05:30:39,Wrong Product Delivered,15961.97,Rejected
339,726421,2025-10-21 03:01:38,Defective Item,34539.28,Rejected
340,430355,2026-03-25 15:52:27,Customer Changed Mind,13371.49,Rejected
341,590545,2026-04-05 04:33:07,Size Issue,46711.4,Approved
342,515247,2026-07-03 14:43:33,Customer Changed Mind,21703.11,Refunded
343,700583,2025-06-14 20:43:35,Damaged Product,21448.55,Approved
344,41152,2026-06-09 03:50:58,Size Issue,4931.76,Rejected
345,592170,2025-01-07 04:25:45,Size Issue,36383.78,Approved
346,405896,2026-07-02 23:14:18,Defective Item,39965.7,Rejected
347,140713,2025-09-09 22:11:58,Size Issue,6204.31,Refunded
348,519805,2026-04-08 10:27:21,Size Issue,23808.03,Approved
349,28705,2024-08-27 11:45:25,Wrong Product Delivered,38130.67,Approved
350,81198,2025-11-22 02:34:11,Customer Changed Mind,49427.6,Approved
351,107444,2025-07-12 01:14:35,Size Issue,48157.17,Approved
352,252835,2025-05-09 17:40:34,Size Issue,4005.42,Refunded
353,651669,2026-06-04 12:16:04,Customer Changed Mind,376.18,Refunded
354,444402,2026-04-29 16:00:24,Size Issue,29963.93,Approved
355,414533,2025-02-03 04:36:31,Defective Item,4528.0,Approved
356,610037,2026-05-17 17:01:31,Size Issue,43591.1,Rejected
357,270074,2026-02-27 10:51:55,Defective Item,46548.74,Refunded
358,424994,2025-05-27 05:39:11,Size Issue,24565.64,Refunded
359,718603,2026-01-31 19:37:47,Customer Changed Mind,18509.62,Approved
360,372319,2024-07-30 21:18:26,Defective Item,18426.8,Refunded
361,18314,2025-09-20 01:48:29,Customer Changed Mind,19662.78,Approved
362,433185,2024-11-26 12:48:54,Defective Item,2578.68,Rejected
363,407446,2026-03-08 09:22:36,Customer Changed Mind,43475.73,Rejected
364,237874,2024-12-04 11:24:25,Customer Changed Mind,46262.05,Refunded
365,422951,2026-01-16 23:43:40,Wrong Product Delivered,40532.26,Refunded
366,743426,2025-03-02 02:14:21,Damaged Product,19826.3,Approved
367,632304,2025-04-15 20:13:46,Defective Item,16733.53,Rejected
368,352829,2026-02-01 21:14:07,Defective Item,5904.72,Rejected
369,532384,2026-01-25 04:33:44,Customer Changed Mind,16551.14,Approved
370,36877,2026-02-22 11:01:37,Defective Item,31046.67,Refunded
371,430668,2024-08-01 05:39:14,Defective Item,4029.2,Rejected
372,467207,2025-08-06 14:50:35,Damaged Product,3534.29,Rejected
373,284138,2025-08-26 17:16:52,Customer Changed Mind,21353.31,Approved
374,564516,2025-07-05 17:12:59,Wrong Product Delivered,10490.32,Rejected
375,378651,2025-06-27 15:59:18,Size Issue,37211.0,Approved
376,697750,2024-12-21 08:02:55,Wrong Product Delivered,27125.17,Refunded
377,36250,2025-10-11 19:07:42,Size Issue,39986.09,Rejected
378,273613,2026-02-01 19:39:20,Defective Item,8969.79,Refunded
379,12015,2024-08-01 00:10:27,Damaged Product,39293.23,Refunded
380,735060,2024-11-23 01:22:07,Wrong Product Delivered,6746.82,Rejected
381,611506,2025-11-15 14:55:45,Customer Changed Mind,44683.43,Rejected
382,617019,2025-11-25 20:07:42,Size Issue,5970.76,Rejected
383,571347,2025-01-02 05:52:20,Customer Changed Mind,4138.67,Rejected
384,597021,2026-05-27 08:35:39,Customer Changed Mind,249.47,Rejected
385,263036,2026-05-31 00:01:10,Damaged Product,38789.29,Approved
386,688529,2026-04-05 14:55:53,Defective Item,6122.72,Approved
387,62977,2026-03-06 14:25:07,Size Issue,18359.09,Refunded
388,648389,2025-05-11 05:01:07,Customer Changed Mind,7431.67,Refunded
389,198316,2025-01-24 11:48:34,Customer Changed Mind,41387.19,Approved
390,114841,2026-02-07 16:38:27,Damaged Product,6442.59,Approved
391,592083,2025-08-21 03:49:12,Customer Changed Mind,47286.02,Approved
