product_id,product_name,category_id,supplier_id,brand,cost_price,selling_price,stock_quantity,reorder_level,date_added,is_active
54,Tempora Pro,22,86,Nike,13395,16877.78,314,10,2025-06-26,True
55,Facere Pro,4,120,Dell,21875,26088.23,271,10,2025-10-24,True
56,Tenetur Plus,17,26,Sony,33035,43116.82,366,10,2022-10-09,True
57,Suscipit Plus,6,6,Nike,1036,1397.58,143,10,2024-10-11,True
58,Provident Max,18,13,Apple,35117,42878.24,264,10,2022-10-26,False
59,Tempore Ultra,21,158,Lenovo,17125,21100.97,16,10,2025-05-06,True
60,Sequi Max,21,125,Samsung,24419,32430.65,28,10,2023-12-20,True
61,Molestiae Lite,3,2,LG,11263,14641.4,110,10,2025-12-15,True
62,Autem Plus,13,51,Havells,7783,10243.05,275,10,2025-04-23,True
63,Provident Plus,10,68,Havells,44281,56742.39,283,10,2024-09-08,True
64,Optio Max,16,163,Sony,21531,25388.48,283,10,2021-12-07,True
65,Similique Lite,21,133,Canon,21830,24052.61,46,10,2021-07-24,True
66,Illum Plus,9,45,Puma,49455,58847.14,310,10,2025-04-10,True
67,Nesciunt Ultra,16,31,Boat,13898,18091.9,420,10,2024-08-27,True
68,Voluptatibus Pro,13,195,Adidas,44397,58735.09,62,10,2021-12-09,True
69,Ipsum Max,21,36,Dell,39864,50342.38,232,10,2026-03-14,True
70,Provident Lite,8,13,Havells,25508,33473.18,4,10,2024-09-29,True
71,Ab Ultra,5,87,Havells,49997,59597.05,309,10,2021-11-15,True
72,Iste Lite,22,43,Philips,30542,35723.64,403,10,2023-07-04,True
73,Laudantium Lite,4,174,Nike,47920,54673.18,152,10,2024-04-17,True
74,Culpa Plus,12,145,Sony,14745,16231.02,273,10,2026-05-24,True
75,Harum Plus,20,54,Puma,29064,32089.55,36,10,2023-06-29,False
76,Libero Ultra,16,67,Godrej,11446,13112.0,262,10,2022-12-23,True
77,Doloribus Pro,24,153,Samsung,49867,68220.98,371,10,2024-10-04,True
78,Sed Lite,14,177,LG,37456,49565.61,34,10,2025-09-08,True
79,Provident Plus,9,64,Nike,14543,16661.39,77,10,2025-04-21,True
80,Excepturi Lite,7,32,Canon,24603,30600.2,332,10,2024-12-28,True
81,Optio Pro,12,62,Samsung,20178,24073.06,500,10,2023-01-27,True
82,Expedita Max,18,200,Dell,36811,48540.68,344,10,2025-03-26,True
83,Iste Max,4,174,Apple,8521,10098.61,224,10,2022-06-17,True
84,Accusantium Pro,18,143,Canon,14321,20045.3,400,10,2023-02-10,False
85,Laudantium Plus,13,18,Philips,47223,60714.28,84,10,2023-06-11,True
86,Repudiandae Pro,23,19,Samsung,8118,9934.54,254,10,2022-12-02,False
87,At Plus,17,155,Puma,28300,31252.46,311,10,2023-05-02,True
88,Libero Plus,4,18,Dell,27407,33782.74,228,10,2022-06-11,True
89,Beatae Plus,13,54,Sony,2047,2720.18,308,10,2023-05-09,True
90,Mollitia Pro,5,58,Nike,19701,25748.3,408,10,2024-04-13,True
91,Numquam Pro,3,121,Apple,23819,27957.38,496,10,2024-10-04,True
92,Blanditiis Ultra,20,64,Philips,17782,23928.25,391,10,2025-03-29,True
93,Eum Plus,14,59,Puma,37637,48094.68,406,10,2022-01-28,False
94,Maxime Pro,11,126,Adidas,31640,39694.98,467,10,2024-10-22,True
95,Cumque Plus,6,191,Lenovo,43886,50809.58,163,10,2026-06-07,True
96,Cumque Ultra,14,169,Lenovo,3193,4323.2,139,10,2023-03-13,True
97,Rerum Lite,22,114,Boat,45297,61138.35,62,10,2026-01-05,True
98,Laborum Plus,19,26,Apple,42878,47892.51,178,10,2023-05-14,True
99,Similique Max,15,111,Philips,38172,48587.06,378,10,2023-09-22,True
100,Fuga Pro,6,17,Dell,49338,63069.3,389,10,2021-11-24,True
101,Ratione Pro,6,180,Philips,45268,54071.78,397,10,2021-08-28,True
102,Beatae Plus,22,110,Dell,49968,62427.83,33,10,2025-01-26,True
103,Rerum Ultra,19,139,Nike,10993,13991.79,334,10,2025-07-26,True
104,Nam Max,1,91,LG,13943,18693.57,370,10,2023-03-04,True
105,Non Lite,4,190,Dell,49343,62084.2,158,10,2026-04-23,True
106,Aperiam Max,5,2,Apple,1356,1728.35,375,10,2022-02-17,True
107,Voluptatibus Pro,24,104,Havells,8034,10753.25,108,10,2022-06-17,True
108,Voluptates Plus,15,72,Adidas,41834,49117.83,242,10,2023-04-05,True
109,Nostrum Lite,2,16,LG,8309,10919.13,299,10,2021-07-25,True
110,Iusto Plus,2,35,HP,45217,57612.99,119,10,2025-01-18,True
111,Quo Pro,6,78,Havells,36279,47904.44,438,10,2026-03-30,True
112,Dolorem Lite,19,122,Havells,32044,41223.88,199,10,2024-04-08,True
113,Minus Ultra,2,53,Sony,9313,10407.13,143,10,2024-01-19,False
114,Veniam Max,4,132,Godrej,15598,17672.15,195,10,2026-03-10,True
115,Eos Max,20,173,Lenovo,13558,17739.34,58,10,2022-03-15,False
116,At Pro,21,126,Boat,36889,49841.07,473,10,2021-07-25,True
117,Quisquam Pro,19,21,Havells,16624,21534.25,327,10,2023-06-18,True
118,Ratione Max,18,97,Canon,631,729.73,326,10,2026-03-29,False
119,Fuga Pro,14,9,Puma,24163,28426.88,355,10,2024-06-17,True
120,Earum Max,2,117,Boat,47636,60049.66,411,10,2022-11-22,True
121,Aliquam Plus,19,105,Puma,48484,60890.9,176,10,2024-10-30,True
122,Quam Max,18,62,Godrej,3229,4366.29,32,10,2023-01-17,True
123,Sapiente Ultra,12,26,Godrej,34741,43926.95,128,10,2025-11-14,True
124,Iusto Max,1,108,Lenovo,48016,61929.82,18,10,2025-07-07,True
125,Nemo Plus,3,120,Lenovo,34267,39983.53,400,10,2024-04-15,True
126,Dignissimos Pro,16,116,Sony,5703,7226.69,363,10,2021-12-20,True
127,Pariatur Max,13,129,Sony,24936,34286.75,405,10,2026-06-18,False
128,Perferendis Plus,25,150,LG,13566,15693.07,263,10,2022-04-23,True
129,Recusandae Ultra,14,169,Apple,40619,56435.35,455,10,2022-08-31,True
130,Minima Ultra,8,199,Godrej,27011,34668.29,173,10,2023-10-16,True
131,Excepturi Lite,4,182,Adidas,45577,53814.79,150,10,2022-12-12,True
132,Non Plus,7,112,Samsung,1566,2159.86,305,10,2024-03-01,True
133,Reiciendis Ultra,6,73,Canon,10653,12055.72,229,10,2023-04-03,True
134,Unde Plus,8,116,Philips,318,419.59,277,10,2021-11-14,True
135,Suscipit Pro,18,83,Puma,1623,2267.0,157,10,2024-04-04,True
136,Et Pro,6,38,Godrej,1531,1885.91,167,10,2024-03-03,False
137,Numquam Plus,7,53,HP,2581,2951.03,108,10,2026-06-14,False
138,Ut Max,3,155,Boat,10696,14923.46,284,10,2025-11-19,True
139,Deleniti Max,18,47,Sony,16631,23263.39,140,10,2022-11-12,True
140,Quae Lite,24,115,Havells,18345,20623.4,241,10,2021-08-21,True
141,Temporibus Ultra,21,5,Puma,4965,6598.68,142,10,2021-08-09,True
142,Adipisci Max,25,45,HP,19399,22440.71,206,10,2023-09-27,False
143,Voluptatibus Pro,16,197,Nike,26194,29153.85,321,10,2026-05-25,True
144,Pariatur Plus,24,140,Havells,1909,2659.68,462,10,2025-11-21,False
145,Saepe Pro,15,33,Havells,13690,17368.33,487,10,2023-11-28,True
146,Labore Lite,18,167,Canon,3841,5093.09,29,10,2023-02-07,True
147,Numquam Pro,2,123,Puma,35448,49083.93,183,10,2025-01-08,True
148,Laboriosam Max,7,169,HP,5695,7681.55,253,10,2022-03-03,False
149,Fugiat Ultra,15,115,Sony,28617,39275.06,289,10,2025-01-23,True
150,Minima Lite,23,77,Philips,41247,47029.05,334,10,2025-07-11,False
151,Ducimus Plus,5,149,Boat,32589,38405.29,146,10,2024-04-24,True
152,Occaecati Ultra,18,46,Canon,9948,12505.53,142,10,2026-04-09,True
153,Eos Ultra,5,95,Puma,16581,21659.51,186,10,2026-04-23,True
154,Eligendi Max,12,187,Boat,49083,60008.76,280,10,2022-12-17,True
155,Quia Ultra,9,68,Boat,10512,14151.86,204,10,2023-06-21,False
156,Omnis Ultra,13,86,Puma,27321,30782.36,75,10,2022-12-29,False
157,Molestias Ultra,6,106,Samsung,41446,56632.36,263,10,2022-09-29,True
158,Fugiat Plus,2,17,Boat,15855,21290.16,162,10,2023-05-03,True
159,Quos Max,23,122,Samsung,34847,45852.53,461,10,2026-04-18,True
160,In Plus,25,187,Havells,6094,7527.19,99,10,2023-12-04,True
161,Est Plus,2,200,Adidas,39302,47983.96,337,10,2026-04-14,True
162,Ullam Lite,7,11,Apple,46834,51596.05,136,10,2022-04-02,True
163,Autem Max,7,83,Boat,8431,10633.98,115,10,2022-11-05,True
164,Ratione Plus,18,58,Lenovo,45699,56675.78,437,10,2022-10-30,True
165,Repellat Lite,21,81,Sony,8104,10008.42,262,10,2022-06-28,False
166,Ex Ultra,21,14,Sony,38428,45963.27,347,10,2024-03-25,True
167,Iure Ultra,2,44,Godrej,38515,47310.48,459,10,2024-11-10,True
168,Dolorem Plus,11,53,Nike,21168,27371.73,276,10,2021-11-10,False
169,Dolores Pro,15,149,Nike,29721,40704.72,306,10,2022-09-04,True
170,Vero Plus,6,65,Godrej,15502,18273.1,421,10,2022-01-17,False
171,Cum Max,3,149,Nike,9928,13140.76,356,10,2026-02-01,True
172,Debitis Max,1,114,Adidas,27247,33738.22,23,10,2022-08-11,True
173,Iusto Pro,11,154,Puma,1817,2475.63,45,10,2024-10-11,True
174,Voluptatibus Plus,11,40,Puma,25562,31223.76,33,10,2024-12-04,False
175,Tenetur Pro,22,178,Lenovo,9415,11150.61,416,10,2022-04-08,True
176,Voluptatibus Max,7,154,Sony,27766,34306.77,451,10,2023-01-13,True
177,Error Lite,5,90,HP,17416,19916.64,282,10,2025-10-18,True
178,Explicabo Pro,2,16,Sony,37162,49068.96,288,10,2023-09-13,True
179,Maxime Pro,6,155,Samsung,17702,24381.55,141,10,2024-07-17,True
180,Eum Max,16,94,Canon,2068,2460.07,141,10,2024-07-20,False
181,Temporibus Pro,14,16,Boat,26726,36147.03,98,10,2026-05-16,False
182,Optio Lite,8,86,Canon,41221,55099.97,16,10,2024-12-23,True
183,Repellendus Ultra,2,195,HP,7604,8865.43,293,10,2024-10-29,True
184,Eaque Plus,25,106,Apple,772,879.49,33,10,2021-11-08,True
185,Ducimus Pro,9,197,Lenovo,45919,54904.37,303,10,2026-01-13,True
186,Quos Max,1,80,Boat,40121,56144.27,25,10,2022-12-08,False
187,Vitae Plus,25,113,Godrej,3425,4393.28,221,10,2024-08-14,True
188,Laudantium Pro,1,57,Nike,17378,21714.87,263,10,2022-01-31,False
189,Ab Ultra,12,111,Godrej,32274,39532.11,236,10,2025-01-15,True
190,Asperiores Pro,19,91,Puma,39970,49203.54,370,10,2023-11-15,True
191,Vero Ultra,19,184,Apple,45416,56768.62,277,10,2022-11-14,False
192,Nihil Ultra,17,79,Sony,12043,14400.32,488,10,2023-07-26,True
193,Nam Ultra,24,123,Lenovo,38236,52333.03,151,10,2025-05-19,True
194,Consectetur Ultra,6,66,Puma,21800,26893.15,320,10,2026-01-01,False
195,Accusantium Ultra,5,8,LG,19312,26805.81,410,10,2022-01-06,False
196,Nemo Max,14,76,HP,17345,21503.27,466,10,2024-08-08,True
197,Ab Max,4,155,Puma,43711,50156.79,1,10,2026-04-21,False
198,Maxime Pro,15,123,HP,44997,57179.54,40,10,2024-09-19,True
199,Odio Ultra,17,7,HP,38115,50936.43,413,10,2022-04-10,False
200,Totam Plus,24,170,Canon,34504,46711.42,132,10,2025-01-29,True
201,Quisquam Pro,25,169,Nike,24875,30722.96,73,10,2022-04-24,True
202,Dignissimos Pro,25,12,Boat,3669,4141.89,62,10,2023-09-30,True
203,Vel Plus,4,6,Samsung,30022,38706.21,351,10,2025-09-01,True
204,Quam Lite,17,60,Sony,18188,20058.62,3,10,2026-05-16,True
205,Nam Lite,6,20,HP,36794,41186.38,71,10,2025-11-13,False
206,Molestias Ultra,15,3,Godrej,47928,61126.33,190,10,2025-07-11,True
207,Asperiores Pro,3,22,Sony,36996,44480.05,10,10,2023-06-07,True
208,Ipsum Lite,6,199,Adidas,29219,34571.75,170,10,2026-01-08,True
209,Corporis Pro,15,70,Samsung,8970,12191.5,274,10,2022-08-03,False
210,Quia Plus,21,86,Adidas,12312,16726.7,462,10,2025-11-26,True
211,Ullam Max,14,78,Sony,15091,17494.99,125,10,2021-12-11,True
212,Est Ultra,22,43,Boat,24406,33090.92,103,10,2024-02-26,True
213,Provident Pro,23,134,Apple,11394,13002.29,422,10,2021-12-04,False
214,Natus Ultra,20,116,Canon,26534,34620.44,133,10,2021-12-30,False
215,Dicta Ultra,2,4,Nike,32302,41213.36,377,10,2025-07-03,True
216,Aliquid Ultra,19,70,Canon,20900,27932.33,91,10,2024-07-25,True
217,Veniam Plus,3,150,LG,13561,18304.91,39,10,2025-10-10,False
218,Natus Lite,18,5,Havells,32768,41568.12,189,10,2021-11-20,True
219,Magnam Pro,2,125,Adidas,25702,34735.31,4,10,2026-01-29,True
220,Beatae Ultra,9,114,Philips,36169,49333.19,64,10,2023-10-30,True
221,Totam Pro,3,28,Lenovo,13322,17111.6,65,10,2022-01-05,True
222,Et Lite,10,69,LG,45775,56321.47,456,10,2025-05-29,True
223,Consectetur Lite,2,67,Havells,15103,17035.64,19,10,2026-05-25,True
224,Repudiandae Max,6,87,Nike,47243,60385.45,254,10,2026-05-11,True
225,Consectetur Max,8,106,Adidas,41336,47090.4,69,10,2023-02-08,True
226,Reiciendis Lite,24,32,LG,47563,63656.62,192,10,2023-07-23,True
227,Voluptatibus Lite,16,7,HP,2037,2486.34,336,10,2025-01-26,True
228,Minus Max,19,94,Puma,8809,12012.57,154,10,2022-10-16,True
229,A Plus,3,54,Dell,284,381.76,125,10,2023-01-17,False
230,Quo Ultra,15,70,Sony,40572,52224.73,440,10,2021-10-04,False
231,Delectus Lite,22,24,LG,26763,32747.62,372,10,2025-06-22,True
232,Quidem Pro,7,162,Samsung,23994,30025.15,26,10,2022-02-04,True
233,Quisquam Max,21,148,LG,10759,14438.6,284,10,2022-02-07,True
234,Distinctio Max,11,88,Sony,22744,26528.08,52,10,2021-07-28,True
235,Consequuntur Ultra,14,199,Havells,23837,27115.58,211,10,2022-12-28,True
236,Necessitatibus Pro,13,29,Nike,11486,14955.5,33,10,2022-06-27,True
237,Enim Max,2,171,Samsung,31664,40845.43,119,10,2021-12-14,True
238,Perspiciatis Lite,13,89,Boat,428,475.24,341,10,2025-09-06,True
239,Pariatur Ultra,24,15,Sony,11356,13367.23,232,10,2022-08-19,True
240,Veniam Lite,17,114,Havells,49624,62583.77,120,10,2022-04-02,True
241,Aut Pro,17,54,Nike,19473,26606.72,363,10,2021-10-03,True
242,Debitis Plus,12,57,Boat,18764,21612.85,394,10,2022-09-08,True
243,A Plus,9,105,Sony,41050,47044.3,360,10,2022-08-14,True
244,Ex Max,23,149,Boat,36810,45974.59,328,10,2024-12-23,True
245,Autem Lite,20,193,Canon,29946,35287.71,296,10,2022-02-23,True
246,Quae Max,15,199,Godrej,24055,30600.68,19,10,2025-03-19,True
247,Alias Ultra,3,174,Nike,48996,58225.97,201,10,2025-03-19,True
248,Provident Pro,23,73,Lenovo,28860,35829.89,30,10,2024-01-19,True
249,Officiis Pro,8,32,Adidas,37957,50195.08,434,10,2024-03-12,True
250,Molestias Lite,2,195,Puma,4414,5939.51,103,10,2022-09-13,False
251,Doloribus Lite,10,176,Godrej,30418,36334.26,154,10,2022-03-22,True
252,Eum Lite,18,87,Nike,31562,35379.11,51,10,2023-02-12,True
253,Magni Max,4,53,Nike,24324,30803.45,45,10,2026-03-17,True
254,Tempore Pro,9,190,Dell,38828,53375.22,135,10,2021-12-11,True
255,Sequi Ultra,7,127,LG,40004,55535.87,247,10,2021-12-20,True
256,Assumenda Max,13,105,Lenovo,22070,24362.72,313,10,2025-06-08,True
257,Consequatur Ultra,8,101,Dell,24564,31037.49,253,10,2023-01-17,True
258,Quasi Pro,20,120,Adidas,24918,31038.77,34,10,2023-07-17,True
259,Praesentium Lite,3,157,LG,46692,59089.14,143,10,2025-02-09,True
260,Quam Plus,18,5,Havells,28659,35188.52,463,10,2024-08-07,True
261,Suscipit Plus,8,33,Canon,12115,14997.28,149,10,2022-10-13,True
262,Natus Plus,5,119,Adidas,40478,54847.87,86,10,2021-10-10,True
263,Aperiam Pro,4,20,Lenovo,31877,39922.1,98,10,2024-01-26,True
264,Ea Plus,25,77,Boat,28524,34795.34,257,10,2025-02-13,False
265,Dicta Lite,13,155,Boat,40921,50900.32,474,10,2024-04-24,True
266,Iusto Ultra,14,74,Samsung,31532,42620.4,102,10,2022-07-19,True
267,Qui Max,3,70,Apple,6935,9287.0,62,10,2025-11-04,True
268,Quaerat Max,22,10,Sony,24805,28239.09,218,10,2023-02-21,True
269,Aliquid Plus,14,139,Apple,36750,40805.71,73,10,2023-05-08,True
270,Ex Plus,10,115,Philips,15664,19466.19,176,10,2025-12-22,True
271,Unde Ultra,8,27,HP,28209,32371.69,255,10,2022-06-17,True
272,Exercitationem Max,7,161,Sony,36024,48959.53,483,10,2023-09-22,True
273,Eius Plus,12,21,Sony,47236,62442.21,259,10,2021-07-10,True
274,Culpa Ultra,17,160,Godrej,48267,63060.57,358,10,2024-07-28,True
275,Dolorem Lite,8,97,Lenovo,36662,40877.65,383,10,2022-02-01,True
276,Vel Ultra,9,31,Boat,37799,46768.51,62,10,2024-04-10,True
277,Voluptate Plus,23,140,Apple,47134,64768.09,470,10,2025-12-25,True
278,Vero Plus,2,115,Nike,38310,52699.35,220,10,2021-11-04,True
279,Cupiditate Pro,8,85,Samsung,21511,23893.08,226,10,2025-07-12,True
280,Iure Lite,2,191,Apple,36618,45225.01,364,10,2026-02-10,True
281,Autem Plus,9,54,Sony,29257,34340.61,21,10,2025-10-12,False
282,Cupiditate Max,3,48,Godrej,32421,39113.66,128,10,2022-06-18,True
283,Optio Plus,22,191,LG,43317,53515.15,426,10,2023-09-26,True
284,Repudiandae Lite,15,130,Puma,49855,67631.92,161,10,2024-08-17,True
285,Dolor Ultra,3,126,LG,18397,24652.04,494,10,2025-06-17,True
286,Tempora Max,1,128,Sony,30753,37404.69,211,10,2024-08-22,True
287,Cumque Pro,13,195,Apple,30019,38568.54,220,10,2023-12-07,False
288,Culpa Plus,17,60,Apple,42990,51014.2,169,10,2025-08-15,False
289,Nemo Ultra,25,83,Philips,35898,45638.46,435,10,2023-08-28,True
290,Asperiores Max,9,73,Godrej,39649,52547.28,347,10,2023-02-08,False
291,Aspernatur Lite,6,50,HP,26323,34932.48,440,10,2025-01-11,True
292,Sint Ultra,7,57,Samsung,22076,26614.15,121,10,2023-09-26,True
293,Voluptate Ultra,3,162,Havells,15700,19097.72,72,10,2021-07-30,False
294,Accusamus Lite,10,102,Canon,13869,18590.63,77,10,2025-04-17,True
295,Fugiat Plus,24,84,Havells,27841,38227.04,251,10,2023-02-02,False
296,Illum Ultra,14,6,HP,22400,28803.32,285,10,2022-12-08,True
297,Ipsa Plus,8,4,Nike,14118,17004.29,278,10,2023-04-04,True
298,Molestiae Pro,15,82,Sony,30476,38607.2,87,10,2021-11-13,False
299,Quaerat Plus,8,180,Puma,1817,2049.64,479,10,2024-06-22,True
300,Quod Lite,15,37,HP,39632,49988.4,397,10,2025-06-17,False
301,Nam Ultra,25,84,Godrej,48356,55608.56,300,10,2025-04-29,True
302,Eos Lite,6,69,Dell,29598,34410.85,36,10,2025-05-24,True
303,Molestias Max,14,171,Dell,44396,58633.37,144,10,2026-03-16,True
304,Doloremque Plus,17,153,Dell,16940,21946.31,236,10,2023-01-22,False
305,Incidunt Lite,21,70,Godrej,17208,21981.17,479,10,2022-08-09,False
306,At Pro,3,113,Havells,11166,14910.34,420,10,2023-11-20,True
307,Ex Plus,6,87,Puma,44568,51216.03,369,10,2025-02-22,True
308,At Pro,14,46,Philips,13870,18751.64,214,10,2023-12-26,True
309,Nemo Plus,12,9,Sony,19722,22892.58,296,10,2021-10-15,True
310,Dignissimos Plus,8,11,Lenovo,49084,56702.14,340,10,2024-08-17,True
311,Pariatur Plus,22,126,Philips,39659,50982.29,440,10,2022-09-19,True
312,Aut Ultra,10,32,Godrej,44260,50444.58,358,10,2022-12-28,True
313,Aliquid Lite,2,125,Samsung,47393,63236.44,341,10,2023-01-16,False
314,Earum Plus,2,34,Boat,37222,42096.12,129,10,2025-12-06,False
315,Nulla Lite,5,132,Adidas,18530,23639.01,489,10,2021-10-18,True
316,Officiis Pro,24,16,Samsung,9040,11653.22,307,10,2021-09-02,False
317,Doloremque Max,22,163,Sony,46497,54963.84,313,10,2022-02-01,False
318,Sit Lite,5,146,Godrej,48249,62006.94,233,10,2022-09-16,True
319,Repellendus Max,12,17,Boat,4690,5427.49,400,10,2023-09-07,False
320,Ex Ultra,18,53,Godrej,17127,23434.66,161,10,2022-09-13,True
321,Modi Pro,25,111,Sony,28449,36551.44,140,10,2022-03-15,True
322,Ipsa Ultra,25,136,Philips,24004,30166.34,181,10,2022-06-04,True
323,Autem Ultra,9,75,Dell,26354,35129.68,116,10,2021-11-06,False
324,Qui Pro,23,95,HP,12775,17121.82,26,10,2022-07-27,True
325,Sunt Lite,3,55,Boat,10467,12775.29,285,10,2024-04-12,True
326,Iste Lite,19,129,Puma,39677,46111.04,126,10,2024-10-20,True
327,Sint Plus,22,199,Dell,18819,20713.26,154,10,2023-09-17,True
328,Quis Lite,13,91,Godrej,21716,29913.45,306,10,2025-05-22,True
329,Dolorum Plus,7,22,Havells,6243,8157.12,286,10,2022-08-27,False
330,Autem Ultra,16,97,Puma,8816,10641.71,129,10,2026-05-31,True
331,Autem Max,12,89,Godrej,2087,2703.1,94,10,2022-11-09,False
332,Illo Max,2,57,Puma,5200,7144.63,319,10,2026-04-18,True
333,Blanditiis Pro,15,6,Canon,47751,52811.39,474,10,2023-06-24,True
334,Autem Pro,24,108,LG,20682,28884.26,235,10,2022-07-09,False
335,Eum Plus,1,87,Samsung,19809,22041.58,438,10,2023-06-25,True
336,Minima Ultra,21,28,Canon,42141,51112.07,315,10,2023-11-28,True
337,Ipsum Plus,2,166,Puma,42683,58420.72,492,10,2022-04-30,False
338,Quisquam Max,14,74,Godrej,14665,19448.13,14,10,2021-08-13,True
339,Deleniti Plus,13,183,Adidas,31763,36224.04,38,10,2022-08-30,False
340,Dolore Ultra,24,90,Puma,44512,59649.66,438,10,2026-01-17,True
341,Porro Lite,2,97,Godrej,28929,36957.24,103,10,2025-06-20,False
342,Doloremque Plus,15,76,Apple,10250,14122.9,107,10,2025-06-29,True
343,Eius Lite,9,32,Samsung,14470,18023.18,147,10,2026-01-06,True
344,Et Plus,17,60,Sony,43095,47803.25,192,10,2022-12-04,True
345,Dicta Pro,13,64,Lenovo,26036,29615.19,109,10,2025-01-25,True
346,Omnis Pro,5,100,Havells,5267,6022.14,283,10,2021-12-24,True
347,Labore Lite,5,171,Canon,31370,39413.04,339,10,2022-06-03,True
348,Ipsum Max,3,122,Boat,46952,56865.93,73,10,2022-02-07,False
349,Odit Plus,21,191,Philips,19831,24149.48,164,10,2026-04-07,True
350,Quam Plus,15,140,Adidas,26863,35833.69,166,10,2026-04-10,True
351,Ullam Ultra,5,125,Havells,38755,43049.45,165,10,2026-02-25,False
352,Nobis Plus,18,192,Puma,16161,20829.43,38,10,2025-01-21,True
353,Recusandae Pro,23,106,Nike,34808,41056.32,270,10,2024-09-26,True
354,Nemo Pro,24,31,Boat,6193,7328.39,213,10,2025-08-08,False
355,Voluptatem Plus,25,55,Godrej,35958,41768.86,469,10,2026-02-13,True
